ColSave,Run no.,Investment_0,Stock_0,Stability_0 ,Volatility_Control,DividendPercent,DividendConstant,SharePriceConstant,ChangeInSharePriceConstant
,1,1001,10,0.5,0.005,0.01,0.01,1.00E-09,1.00E-06

,2,1001,10,0.5,0.005,0.01,0.01,1e-09,1e-06
,3,1001,10,0.5,0.005,0.01,0.01,1e-09,1e-06
,4,1001,10,0.5,0.005,0.01,0.01,1e-09,1e-06
